STRING,syllable1a_p,syllable1a_g,syllable1a_pg,syllable1b_p,syllable1b_g,syllable1b_pg,syllable1c_p,syllable1c_g,syllable1c_pg,syllable1d_p,syllable1d_g,syllable1d_pg,syllable1e_p,syllable1e_g,syllable1e_pg,syllable1f_p,syllable1f_g,syllable1f_pg,syllable2a_p,syllable2a_g,syllable2a_pg,syllable2b_p,syllable2b_g,syllable2b_pg,syllable2c_p,syllable2c_g,syllable2c_pg,syllable2d_p,syllable2d_g,syllable2d_pg,syllable2e_p,syllable2e_g,syllable2e_pg,syllable2f_p,syllable2f_g,syllable2f_pg,syllable3a_p,syllable3a_g,syllable3a_pg,syllable3b_p,syllable3b_g,syllable3b_pg,syllable3c_p,syllable3c_g,syllable3c_pg,syllable3d_p,syllable3d_g,syllable3d_pg,syllable3e_p,syllable3e_g,syllable3e_pg,syllable3f_p,syllable3f_g,syllable3f_pg,syllable4a_p,syllable4a_g,syllable4a_pg,syllable4b_p,syllable4b_g,syllable4b_pg,syllable4c_p,syllable4c_g,syllable4c_pg,syllable4d_p,syllable4d_g,syllable4d_pg,syllable4e_p,syllable4e_g,syllable4e_pg,syllable4f_p,syllable4f_g,syllable4f_pg,syllable5a_p,syllable5a_g,syllable5a_pg,syllable5b_p,syllable5b_g,syllable5b_pg,syllable5c_p,syllable5c_g,syllable5c_pg,syllable5d_p,syllable5d_g,syllable5d_pg,syllable5e_p,syllable5e_g,syllable5e_pg,syllable5f_p,syllable5f_g,syllable5f_pg,syllable6a_p,syllable6a_g,syllable6a_pg,syllable6b_p,syllable6b_g,syllable6b_pg,syllable6c_p,syllable6c_g,syllable6c_pg,syllable6d_p,syllable6d_g,syllable6d_pg,syllable6e_p,syllable6e_g,syllable6e_pg,syllable6f_p,syllable6f_g,syllable6f_pg
a,eɪ,a,eɪ+a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,ə,a,ə+a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aah,ɑ,aah,ɑ+aah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardvark,ɑ,aa,ɑ+aa,r,r,r+r,d,d,d+d,,,,,,,,,,v,v,v+v,ɑ,a,ɑ+a,r,r,r+r,k,k,k+k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaron,ɛ,aa,ɛ+aa,,,,,,,,,,,,,,,,r,r,r+r,ə,o,ə+o,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abacus,æ,a,æ+a,,,,,,,,,,,,,,,,b,b,b+b,ə,a,ə+a,,,,,,,,,,,,,k,c,k+c,ə,u,ə+u,s,s,s+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abandon,ə,a,ə+a,,,,,,,,,,,,,,,,b,b,b+b,æ,a,æ+a,n,n,n+n,,,,,,,,,,d,d,d+d,ə,o,ə+o,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abandoned,ə,a,ə+a,,,,,,,,,,,,,,,,b,b,b+b,æ,a,æ+a,n,n,n+n,,,,,,,,,,d,d,d+d,ə,o,ə+o,n,n,n+n,d,ed,d+ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abbott,æ,a,æ+a,,,,,,,,,,,,,,,,b,bb,b+bb,ə,o,ə+o,t,tt,t+tt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abby,æ,a,æ+a,,,,,,,,,,,,,,,,b,bb,b+bb,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abdomen,æ,a,æ+a,b,b,b+b,,,,,,,,,,,,,d,d,d+d,ə,o,ə+o,,,,,,,,,,,,,m,m,m+m,ə,e,ə+e,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abducted,ə,a,ə+a,b,b,b+b,,,,,,,,,,,,,d,d,d+d,ʌ,u,ʌ+u,k,c,k+c,,,,,,,,,,t,t,t+t,ɪ,e,ɪ+e,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abducted,æ,a,æ+a,b,b,b+b,,,,,,,,,,,,,d,d,d+d,ʌ,u,ʌ+u,k,c,k+c,,,,,,,,,,t,t,t+t,ɪ,e,ɪ+e,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abilities,ə,a,ə+a,,,,,,,,,,,,,,,,b,b,b+b,ɪ,i,ɪ+i,,,,,,,,,,,,,l,l,l+l,ə,i,ə+i,,,,,,,,,,,,,t,t,t+t,i,ie,i+ie,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ability,ə,a,ə+a,,,,,,,,,,,,,,,,b,b,b+b,ɪ,i,ɪ+i,,,,,,,,,,,,,l,l,l+l,ə,i,ə+i,,,,,,,,,,,,,t,t,t+t,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
able,eɪ,a,eɪ+a,,,,,,,,,,,,,,,,b,b,b+b,ə,,ə+_,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
