spelling,IPA,pronunciation
a,eɪ,8
a,ə,e
aah,ɑ,a
aardvark,ɑrdvɑrk,ardvark
aaron,ɛrən,Eren
abacus,æbəkəs,@bekes
abandon,əbændən,eb@nden
abandoned,əbændənd,eb@ndend
abbott,æbət,@bet
abby,æbi,@bi
abdomen,æbdəmən,@bdemen
abducted,əbdʌktɪd,ebd^kt1d
abducted,æbdʌktɪd,@bd^kt1d
abilities,əbɪlətiz,eb1letiz
ability,əbɪləti,eb1leti
able,eɪbəl,8bel
aboard,əbɔrd,ebcrd
abominable,əbɑmənəbəl,ebamenebel
abort,əbɔrt,ebcrt
abortion,əbɔrʃən,ebcrSen
about,əbaʊt,ebOt
above,əbʌv,eb^v
abracadabra,æbrəkədæbrə,@breked@bre
abraham,eɪbrəhæm,8breh@m
abroad,əbrɔd,ebrcd
absence,æbsəns,@bsens
absent,æbsənt,@bsent
absolute,æbsəlut,@bselut
absolutely,æbsəlutli,@bselutli
abstain,əbsteɪn,ebst8n
absurd,əbsɚrd,ebs3rd
abuse,əbjus,ebjus
abuse,əbjuz,ebjuz
abyss,əbɪs,eb1s
academic,ækədɛmɪk,@kedEm1k
academy,əkædəmi,ek@demi
accelerando,æksɛlərændoʊ,@ksEler@ndo
accelerate,æksɛlɚreɪt,@ksEl3r8t
accent,əksɛnt,eksEnt
accept,əksɛpt,eksEpt
accept,æksɛpt,@ksEpt
acceptable,əksɛptəbəl,eksEptebel
accepted,æksɛptɪd,@ksEpt1d
access,æksɛs,@ksEs
accident,æksədənt,@ksedent
accidental,æksədɛntəl,@ksedEntel
accidentally,æksədɛntəli,@ksedEnteli
accidents,æksədənts,@ksedents
accolade,ækəleɪd,@kel8d
accommodate,əkɑmədeɪt,ekamed8t
accompany,əkʌmpəni,ek^mpeni
accomplice,əkɑmpləs,ekamples
accomplish,əkɑmplɪʃ,ekampl1S
accomplished,əkɑmplɪʃt,ekampl1St
according,əkɔrdɪŋ,ekcrd1N
accordion,əkɔrdiən,ekcrdien
account,əkaʊnt,ekOnt
accountant,əkaʊntənt,ekOntent
accounts,əkaʊnts,ekOnts
accurate,ækjɚrət,@kj3ret
accuse,əkjuz,ekjuz
accused,əkjuzd,ekjuzd
accusing,əkjuzɪŋ,ekjuz1N
ace,eɪs,8s
ache,eɪk,8k
achieve,ətʃiv,eCiv
acid,æsəd,@sed
acknowledge,əknɑlɪdʒ,eknal1G
acorn,eɪkɔrn,8kcrn
acquaintance,əkweɪntəns,ekw8ntens
acquiesce,ækwiɛs,@kwiEs
acquiescence,ækwiɛsəns,@kwiEsens
acquire,əkwaɪɚr,ekw53r
acres,eɪkɚrz,8k3rz
acrobat,ækrəbæt,@kreb@t
acronym,ækrənɪm,@kren1m
across,əkrɔs,ekrcs
act,ækt,@kt
acted,æktɪd,@kt1d
acting,æktɪŋ,@kt1N
action,ækʃən,@kSen
actions,ækʃənz,@kSenz
activate,æktəveɪt,@ktev8t
active,æktɪv,@kt1v
activities,æktɪvɪtiz,@kt1v1tiz
activity,æktɪvɪti,@kt1v1ti
actor,æktɚr,@kt3r
actors,æktɚrz,@kt3rz
actress,æktrəs,@ktres
acts,ækts,@kts
actual,æktʃəəl,@kCeel
actually,æktʃuəli,@kCueli
ad,æd,@d
adam,ædəm,@dem
adamant,ædəmənt,@dement
adams,ædəmz,@demz
add,æd,@d
added,ædɪd,@d1d
addict,ædɪkt,@d1kt
addict,ədɪkt,ed1kt
addition,ədɪʃən,ed1Sen
additional,ədɪʃənəl,ed1Senel
address,ædrɛs,@drEs
ade,eɪd,8d
adjective,ædʒɪktɪv,@G1kt1v
adjourned,ədʒɚrnd,eG3rnd
adjudication,ədʒudəkeɪʃən,eGudek8Sen
adjust,ədʒʌst,eG^st
administration,ædmɪnɪstreɪʃən,@dm1n1str8Sen
